,Logical Regression,Train-Time(Log Reg),Decision Tree,Train-Time(Decision Tree),Random Forest,Train-Time(Random Forest),Naive Bayes,Train-Time(Naive Bayes),SVM,Train-Time(SVM)
350,0.9473684210526315,0.02200150489807129,0.9210526315789473,0.0010001659393310547,0.9210526315789473,0.10400772094726562,0.9210526315789473,0.0,1.0,0.0
351,0.9210526315789473,0.019001245498657227,0.9210526315789473,0.0010001659393310547,0.9210526315789473,0.1180107593536377,0.868421052631579,0.0,0.9473684210526315,0.0
352,1.0,0.02400064468383789,0.9736842105263158,0.0,0.9736842105263158,0.1110072135925293,1.0,0.0010001659393310547,0.9736842105263158,0.0
353,1.0,0.02000141143798828,1.0,0.0009999275207519531,1.0,0.1160120964050293,0.9736842105263158,0.001001119613647461,1.0,0.0009996891021728516
354,0.9736842105263158,0.028001070022583008,0.9473684210526315,0.0010004043579101562,0.9736842105263158,0.11300849914550781,1.0,0.0009996891021728516,0.9736842105263158,0.0010001659393310547
355,0.9473684210526315,0.02200174331665039,0.9736842105263158,0.0009999275207519531,0.9736842105263158,0.11600923538208008,0.9736842105263158,0.0010006427764892578,1.0,0.0
356,0.9473684210526315,0.016000747680664062,0.9473684210526315,0.0010006427764892578,0.9210526315789473,0.1200096607208252,0.9736842105263158,0.0010004043579101562,0.9473684210526315,0.0
357,0.9736842105263158,0.03000164031982422,0.9736842105263158,0.0,0.9736842105263158,0.12400960922241211,0.9736842105263158,0.0010004043579101562,1.0,0.0
358,1.0,0.02100229263305664,0.9736842105263158,0.0010008811950683594,0.9473684210526315,0.11500859260559082,0.9473684210526315,0.0010001659393310547,1.0,0.0
359,0.9473684210526315,0.020999908447265625,0.9210526315789473,0.0,0.9210526315789473,0.12500929832458496,0.9210526315789473,0.0010001659393310547,1.0,0.0009999275207519531
360,0.9736842105263158,0.021001338958740234,0.9736842105263158,0.0,0.9736842105263158,0.12501001358032227,0.9473684210526315,0.0,0.9736842105263158,0.0
361,0.9736842105263158,0.02000117301940918,0.9473684210526315,0.0,0.9736842105263158,0.10800504684448242,1.0,0.0010001659393310547,0.9473684210526315,0.0010001659393310547
362,0.9736842105263158,0.021001815795898438,0.9736842105263158,0.0,0.9473684210526315,0.12100887298583984,1.0,0.0020003318786621094,0.9736842105263158,0.0009999275207519531
363,1.0,0.021001815795898438,0.9736842105263158,0.0,1.0,0.10400795936584473,1.0,0.0,1.0,0.0009999275207519531
364,0.9736842105263158,0.021001338958740234,0.9736842105263158,0.0009999275207519531,0.9473684210526315,0.10300779342651367,1.0,0.0,1.0,0.0010001659393310547
365,0.9473684210526315,0.017014026641845703,0.9473684210526315,0.0,0.9473684210526315,0.10300803184509277,0.9210526315789473,0.001001119613647461,0.9736842105263158,0.0010004043579101562
366,0.9210526315789473,0.021000146865844727,0.9210526315789473,0.0,0.9210526315789473,0.10300660133361816,0.9210526315789473,0.0010001659393310547,0.9473684210526315,0.0010008811950683594
