,Unnamed: 0,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM)
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,499.5,0.9432167832167833,0.04187062907218928,0.9251258741258741,0.005904325723648053,0.9586503496503497,0.17476162147521973,0.9388321678321678,0.0009725863933563102,0.9530839160839161,1.1158835253715516
std,288.8194360957494,0.018292351538823935,0.009085139457087986,0.02246428854624635,0.007238475662814978,0.016066743203313374,0.016591581081561755,0.01752899315339857,0.003148830490106814,0.0163339860097568,0.6577741887610238
min,0.0,0.8811188811188811,0.0156288146972656,0.8321678321678322,0.0,0.902097902097902,0.141066312789917,0.8811188811188811,0.0,0.902097902097902,0.1518282890319824
25%,249.75,0.93006993006993,0.03163790702819817,0.9090909090909092,0.0,0.951048951048951,0.16371095180511475,0.93006993006993,0.0,0.944055944055944,0.6811487078666687
50%,499.5,0.944055944055944,0.04687249660491935,0.9230769230769232,0.0,0.958041958041958,0.1727151870727539,0.9370629370629372,0.0,0.951048951048951,0.9561245441436768
75%,749.25,0.958041958041958,0.0472645759582519,0.9388111888111889,0.0156300067901611,0.972027972027972,0.18146848678588864,0.951048951048951,0.000997602939605675,0.965034965034965,1.3693838119506836
max,999.0,0.986013986013986,0.0710177421569824,0.986013986013986,0.0221455097198486,1.0,0.2747914791107178,0.993006993006993,0.015636920928955,1.0,4.99927830696106
