,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM)
0,0.9370629370629371,0.04800605773925781,0.951048951048951,0.008002042770385742,0.9440559440559441,0.14193296432495117,0.9370629370629371,0.0,0.965034965034965,0.649470329284668
1,0.9370629370629371,0.0468897819519043,0.9300699300699301,0.0,0.965034965034965,0.18293976783752441,0.9090909090909091,0.0,0.9370629370629371,1.655458927154541
2,0.9020979020979021,0.01562952995300293,0.9230769230769231,0.015630245208740234,0.951048951048951,0.1570899486541748,0.9020979020979021,0.0,0.951048951048951,0.6998176574707031
3,0.9440559440559441,0.0468897819519043,0.8811188811188811,0.0,0.9440559440559441,0.2747914791107178,0.9230769230769231,0.0,0.9440559440559441,0.6925439834594727
4,0.9090909090909091,0.04139065742492676,0.9440559440559441,0.0,0.951048951048951,0.19164133071899414,0.916083916083916,0.007996559143066406,0.9370629370629371,0.4092836380004883
5,0.951048951048951,0.03164815902709961,0.9440559440559441,0.015631675720214844,0.972027972027972,0.1566934585571289,0.9370629370629371,0.0,0.965034965034965,1.39084792137146
6,0.9440559440559441,0.031652212142944336,0.8811188811188811,0.01563119888305664,0.958041958041958,0.18279480934143066,0.9370629370629371,0.0,0.958041958041958,0.8199219703674316
7,0.9440559440559441,0.046889305114746094,0.9020979020979021,0.01714015007019043,0.965034965034965,0.20711135864257812,0.9370629370629371,0.0,0.965034965034965,2.3216216564178467
8,0.9370629370629371,0.03125929832458496,0.9090909090909091,0.015631437301635742,0.9440559440559441,0.1570892333984375,0.9370629370629371,0.01562643051147461,0.958041958041958,0.839313268661499
9,0.9370629370629371,0.04727911949157715,0.9020979020979021,0.0,0.965034965034965,0.17220830917358398,0.9440559440559441,0.0,0.9300699300699301,0.5855519771575928
10,0.916083916083916,0.04276895523071289,0.9020979020979021,0.0,0.951048951048951,0.17272043228149414,0.9440559440559441,0.0,0.951048951048951,0.8772990703582764
11,0.9370629370629371,0.0468902587890625,0.951048951048951,0.0,0.972027972027972,0.1883528232574463,0.9370629370629371,0.0,0.958041958041958,0.8972272872924805
12,0.9440559440559441,0.046887874603271484,0.9090909090909091,0.0,0.965034965034965,0.2587904930114746,0.916083916083916,0.0,0.965034965034965,1.8830795288085938
13,0.9370629370629371,0.03125905990600586,0.9020979020979021,0.015628337860107422,0.958041958041958,0.17272329330444336,0.9300699300699301,0.003906726837158203,0.9440559440559441,1.5300722122192383
14,0.9090909090909091,0.051400184631347656,0.9370629370629371,0.0,0.958041958041958,0.24761319160461426,0.9300699300699301,0.0,0.9370629370629371,0.9413650035858154
15,0.916083916083916,0.03125476837158203,0.9440559440559441,0.0,0.972027972027972,0.18784737586975098,0.965034965034965,0.0009999275207519531,0.9440559440559441,0.8319337368011475
16,0.9370629370629371,0.031260013580322266,0.9300699300699301,0.0,0.958041958041958,0.1883406639099121,0.916083916083916,0.001001596450805664,0.9370629370629371,0.7105469703674316
17,0.958041958041958,0.03164482116699219,0.972027972027972,0.0,0.965034965034965,0.1723322868347168,0.9440559440559441,0.0,0.9370629370629371,0.7466557025909424
18,0.9370629370629371,0.03125929832458496,0.9370629370629371,0.0,0.9440559440559441,0.17271900177001953,0.9300699300699301,0.0,0.958041958041958,0.7372763156890869
19,0.9020979020979021,0.04277205467224121,0.9230769230769231,0.0,0.951048951048951,0.17271208763122559,0.958041958041958,0.0,0.9440559440559441,0.7476677894592285
