,Unnamed: 0,Logical Regression,Train-Time(Log Reg),Decision Tree,Train-Time(Decision Tree),Random Forest,Train-Time(Random Forest),Naive Bayes,Train-Time(Naive Bayes),SVM,Train-Time(SVM)
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,499.5,0.9616052631578946,0.0237945585250854,0.9463421052631578,0.00047730755805966505,0.9499473684210525,0.12086922407150266,0.9523157894736841,0.0007031776905059439,0.9761578947368421,0.0005570623874664007
std,288.8194360957494,0.028507331181451986,0.004827520692373227,0.033194112113383835,0.000507996029440094,0.03220749355663616,0.01807135891155038,0.031026372104386735,0.00048696976886396394,0.022849591271460332,0.0005050412247476962
min,0.0,0.8421052631578947,0.0140011310577392,0.8157894736842105,0.0,0.8157894736842105,0.1020076274871826,0.8421052631578947,0.0,0.868421052631579,0.0
25%,249.75,0.9473684210526316,0.0210018157958984,0.9210526315789472,0.0,0.9210526315789472,0.1120078563690185,0.9210526315789472,0.0,0.9736842105263158,0.0
50%,499.5,0.9736842105263158,0.0230016708374023,0.9473684210526316,0.0,0.9473684210526316,0.11800897121429435,0.9473684210526316,0.0009999275207519,0.9736842105263158,0.0009994506835937
75%,749.25,0.9736842105263158,0.0260004997253417,0.9736842105263158,0.0010004043579101,0.9736842105263158,0.1250100135803222,0.9736842105263158,0.0010004043579101,1.0,0.001000165939331
max,999.0,1.0,0.082005500793457,1.0,0.0020046234130859,1.0,0.3530259132385254,1.0,0.0020020008087158,1.0,0.0020020008087158
