,Unnamed: 0,Time(Log_Reg),Time(Lasso_Reg),Time(ELastic_Reg),Time(Rid_Reg),Accuracy(Log_Reg),Accuracy(Lasso_Reg),Accuracy(Elastic_Reg),Accuracy(Rid_Reg),MSE(Log_Reg),MSE(Lasso_Reg),MSE(Elastic_Reg),MSE(Rid_Reg),R-sq(Log_Reg),R-sq(Lasso_Reg),R-sq(Elastic_Reg),R-sq(Rid_Reg)
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,499.5,0.02898771643638606,0.0006359763145446469,0.0005700161457061478,0.000652188777923551,0.9603421052631579,0.9207897398559721,0.9195272123803133,0.921352046518677,0.03965789473684208,0.16983064728718436,0.17127834098474778,0.17230741884054246,0.9386124858785838,0.9207897398559721,0.9195272123803133,0.921352046518677
std,288.8194360957494,0.009883835662438901,0.0005602245850058079,0.0005435507115903554,0.00061435674779142,0.029294452574766736,0.01994782407021453,0.02013730852786292,0.020150968379923705,0.029294452574766705,0.020796280909197246,0.021065786730332416,0.020483511582610095,0.045704815809572655,0.01994782407021453,0.02013730852786292,0.020150968379923705
min,0.0,0.0159981250762939,0.0,0.0,0.0,0.868421052631579,0.8307767479010539,0.833491576610328,0.8344420275729645,0.0,0.105916157959578,0.1109945975083755,0.1099782582936054,0.7724550898203593,0.8307767479010539,0.833491576610328,0.8344420275729645
25%,249.75,0.0230031013488769,0.0,0.0,0.0,0.9473684210526316,0.9082710074411817,0.9075115039703591,0.9085631584356301,0.0263157894736842,0.1563720027202012,0.1573654229952014,0.1583904621860684,0.9129438717067584,0.9082710074411817,0.9075115039703591,0.9085631584356301
50%,499.5,0.0260019302368164,0.0009992122650146,0.0009987354278564,0.0009994506835937,0.9736842105263158,0.9230511898145971,0.9213598577564959,0.9238812875743541,0.0263157894736842,0.1698748842524041,0.17083881192322636,0.1718054920884898,0.9524106022584692,0.9230511898145971,0.9213598577564959,0.9238812875743541
75%,749.25,0.0300040245056152,0.001000165939331,0.001000165939331,0.0010004043579101,0.9736842105263158,0.934756314236167,0.934176508469698,0.9355998230837548,0.0526315789473684,0.18308989112162738,0.18547742471415177,0.18623761179970408,0.9629268292682926,0.934756314236167,0.934176508469698,0.9355998230837548
max,999.0,0.0830132961273193,0.0020060539245605,0.0030045509338378,0.0090003013610839,1.0,0.9710121103739536,0.9687820050068262,0.97162000888181,0.131578947368421,0.2488995856508465,0.2413915255096921,0.2497368856447705,1.0,0.9710121103739536,0.9687820050068262,0.97162000888181
