,Unnamed: 0,Time(Log_Reg),Time(Lasso_Reg),Time(ELastic_Reg),Time(Rid_Reg),Accuracy(Log_Reg),Accuracy(Lasso_Reg),Accuracy(Elastic_Reg),Accuracy(Rid_Reg),MSE(Log_Reg),MSE(Lasso_Reg),MSE(Elastic_Reg),MSE(Rid_Reg),R-sq(Log_Reg),R-sq(Lasso_Reg),R-sq(Elastic_Reg),R-sq(Rid_Reg)
0,0,0.0300018787384033,0.0009970664978027,0.0010023117065429,0.0009984970092773,1.0,0.9379750903843336,0.9376602996033356,0.9376896288016598,0.0,0.1536962369333813,0.1520357750741553,0.1611895637921381,1.0,0.9379750903843336,0.9376602996033356,0.9376896288016598
1,1,0.0159981250762939,0.0009996891021728,0.001000165939331,0.0,0.9473684210526316,0.916731340171679,0.915883326205739,0.9177564809982336,0.0526315789473684,0.1910063174710738,0.1904364149867287,0.1948135183659081,0.9227642276422764,0.916731340171679,0.915883326205739,0.9177564809982336
2,2,0.0240013599395751,0.0,0.0,0.0,0.9736842105263158,0.9464647677746434,0.9436003405950631,0.9455985251217642,0.0263157894736842,0.1498302085041769,0.155169871578481,0.1573058139556324,0.9652333028362304,0.9464647677746434,0.9436003405950631,0.9455985251217642
3,3,0.0279984474182128,0.0009982585906982,0.0,0.001000165939331,0.9736842105263158,0.9236924392080674,0.9206392303477766,0.9266784578005928,0.0263157894736842,0.1651085068521731,0.170991313493771,0.1596427797810292,0.95662100456621,0.9236924392080674,0.9206392303477766,0.9266784578005928
4,4,0.0209989547729492,0.0,0.0,0.0,1.0,0.9334398735687266,0.9415451597709702,0.9375105339171242,0.0,0.1556643043579501,0.1384486516800917,0.153173837308326,1.0,0.9334398735687266,0.9415451597709702,0.9375105339171242
5,5,0.0230004787445068,0.0009996891021728,0.001000165939331,0.001000165939331,0.9473684210526316,0.8816409449734385,0.8890712965424721,0.8628546228463143,0.0526315789473684,0.1904433876342687,0.1854525776563221,0.2032166898544859,0.8950276243093922,0.8816409449734385,0.8890712965424721,0.8628546228463143
6,6,0.021998643875122,0.0009994506835937,0.0009999275207519,0.0010011196136474,1.0,0.9380661749108404,0.935052538709011,0.9424132309676728,0.0,0.1564591380286782,0.1638951664782311,0.1520562641606208,1.0,0.9380661749108404,0.935052538709011,0.9424132309676728
7,7,0.0460033416748046,0.0019998550415039,0.0009996891021728,0.0,1.0,0.951403520859808,0.9493418929641234,0.9505958027361802,0.0,0.1260270117206686,0.132755919009286,0.1319428171116238,1.0,0.951403520859808,0.9493418929641234,0.9505958027361802
8,8,0.0389974117279052,0.0,0.0,0.001000165939331,0.9736842105263158,0.91385116049889,0.9105616029589868,0.9173700952342664,0.0263157894736842,0.1883341689918103,0.1923089821434291,0.1852226051473313,0.9596174282678004,0.91385116049889,0.9105616029589868,0.9173700952342664
9,9,0.0320010185241699,0.0010004043579101,0.0,0.0010008811950683,0.9473684210526316,0.903338210251236,0.8958201273147561,0.9043564904250956,0.0526315789473684,0.1887594467851811,0.1964157484423419,0.1887538308965916,0.9166666666666666,0.903338210251236,0.8958201273147561,0.9043564904250956
10,10,0.0230014324188232,0.0009996891021728,0.0009999275207519,0.0010011196136474,0.9210526315789472,0.8608842512605526,0.8624222451961128,0.8543504676189032,0.0789473684210526,0.1964682492090826,0.1959851307230569,0.2031103831299222,0.824074074074074,0.8608842512605526,0.8624222451961128,0.8543504676189032
11,11,0.03300142288208,0.0,0.0,0.0,0.9736842105263158,0.9447720021124668,0.9414534642750878,0.941087432751933,0.0263157894736842,0.1459660080882777,0.1510465239789574,0.1583696730650561,0.9611054247697032,0.9447720021124668,0.9414534642750878,0.941087432751933
12,12,0.0400042533874511,0.0009994506835937,0.00099778175354,0.0,1.0,0.946553196629421,0.948288895205282,0.9404031340240734,0.0,0.1398188909345646,0.1352074095177604,0.1522056483472182,1.0,0.946553196629421,0.948288895205282,0.9404031340240734
